"Payment Authorized","Payment Authorized"
"Order Authorized","Order Authorized"
"Order not Verified","Order not Verified"
"Order Invoiced","Order Invoiced"
"Payment handling fee","Payment handling fee"
"Order has been Canceled. (Payment not completed)","Order has been Canceled. (Payment not completed)"
"Missing Id","Missing Id"
"Invalid form key","Invalid form key"
"Error: Invalid fromKey","Error: Invalid fromKey"
"Error: Invalid Request","Error: Invalid Request"
"invalid request.","invalid request."
Shipping,Shipping
"Payer error 1101 : CommitOrder only allowed for payer_checkout_invoice & payer_checkout_installment","Payer error 1101 : CommitOrder only allowed for payer_checkout_invoice & payer_checkout_installment"
"Payer error 1102 : payer_merhcant_reference_id is not set","Payer error 1102 : payer_merhcant_reference_id is not set"
"Payment Handling Fee","Payment Handling Fee"
label,label
"annual instalment","annual instalment"
"interest free","interest free"
"Incl. Tax","Incl. Tax"
"Excl. Tax","Excl. Tax"
"National Id number","National Id number"
Zip,Zip
"Tax Class for Payment handling fee","Tax Class for Payment handling fee"
"Display Payment Handling Fee","Display Payment Handling Fee"
"Payer Checkout Card","Payer Checkout Card"
Enabled,Enabled
Title,Title
"Agent ID","Agent ID"
"Key 1","Key 1"
"Key 2","Key 2"
"Test Mode","Test Mode"
"Auto capture order on confirmation","Auto capture order on confirmation"
"New Order Status","New Order Status"
"Auth Order Status","Auth Order Status"
"Acknowledged Order Status","Acknowledged Order Status"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Sort Order","Sort Order"
"Developers / Advaced","Developers / Advaced"
"Activate Callback URI override","Activate Callback URI override"
"Callback/Push URI override
                            <br />
                            <small>
                            <i>will override base-url part</i>
                            <small>
                        ","Callback/Push URI override
                            <br />
                            <small>
                            <i>will override base-url part</i>
                            <small>
                        "
"Payer Checkout Invoice","Payer Checkout Invoice"
"Interaction minimal","Interaction minimal"
"Payer Checkout Bank","Payer Checkout Bank"
"Payer Checkout Installment","Payer Checkout Installment"
"Payer Checkout Swish","Payer Checkout Swish"
"Shipping Address","Shipping Address"
"Save Address","Save Address"
Cancel,Cancel
